Economie,Jaar,CO2,N2O,CH4,Broeikasgas-equivalent,NOx,SO2,NH3,Zuur-equivalent,CFK12-equivalent,CO,NMVOS,PM10
Totaal Nederlandse economie,2015,201981,30.2,728.5,231221,454.3,51.1,128.4,19.0,75.1,626.5,260.0,31.1
Totaal Nederlandse economie,2016,200261,29.2,733.7,229147,441.6,41.0,128.4,18.4,72.4,628.9,257.8,29.6
Totaal Nederlandse economie,2017,198149,29.8,720.9,226772,431.3,39.5,131.9,18.4,69.9,616.4,257.8,29.1
Totaal Nederlandse economie,2018,194358,28.7,692.7,222071,424.9,37.0,130.0,18.0,68.0,611.0,244.8,28.4
Totaal Nederlandse economie,2019,192090,28.5,681.9,219585,414.0,34.0,126.4,17.5,67.6,604.2,241.7,27.5
Totaal particuliere huishoudens,1990,37647,0.4,28.4,38484,162.3,6.2,14.1,4.5,678.7,706.8,187.1,11.8
Totaal particuliere huishoudens,1991,40854,0.5,29.4,41741,155.2,6.0,14.4,4.4,571.8,627.0,165.4,11.1
Totaal particuliere huishoudens,1992,39441,0.6,27.5,40312,143.4,5.8,14.9,4.2,464.9,599.8,157.9,10.8
Totaal particuliere huishoudens,1993,40675,0.7,27.7,41578,134.3,5.6,15.2,4.0,358.0,564.0,150.3,10.3
Totaal particuliere huishoudens,1994,39629,0.8,26.3,40523,125.0,5.3,15.2,3.8,251.2,538.4,144.1,9.9
Totaal particuliere huishoudens,1995,41681,0.9,27.6,42696,120.5,4.9,12.9,3.5,144.3,544.6,140.1,10.3
Totaal particuliere huishoudens,1996,45661,1.0,30.2,46770,118.0,3.8,13.3,3.5,58.5,530.6,136.0,9.9
Totaal particuliere huishoudens,1997,41899,0.9,26.7,42925,108.2,2.4,13.8,3.2,48.8,515.7,128.2,9.8
Totaal particuliere huishoudens,1998,40908,1.0,25.6,41913,99.8,2.5,14.1,3.1,42.1,490.2,116.4,9.6
Totaal particuliere huishoudens,1999,40460,1.0,24.3,41398,96.0,2.6,14.6,3.0,45.1,473.9,108.3,9.4
Totaal particuliere huishoudens,2000,40678,1.0,24.0,41832,88.8,2.0,13.7,2.8,39.1,470.4,103.8,9.5
Totaal particuliere huishoudens,2001,41287,0.9,24.3,42385,82.7,1.1,15.3,2.7,34.6,456.2,96.8,9.0
Totaal particuliere huishoudens,2002,40798,0.9,23.6,41854,78.3,1.2,15.4,2.6,30.9,457.0,92.1,8.9
Totaal particuliere huishoudens,2003,41499,0.9,23.9,42589,74.4,0.9,15.3,2.5,27.6,460.2,88.6,8.9
Totaal particuliere huishoudens,2004,40885,0.9,23.1,42004,69.4,0.9,15.2,2.4,24.2,458.9,84.1,8.7
Totaal particuliere huishoudens,2005,40019,0.9,22.7,41135,65.7,0.8,15.6,2.4,21.2,453.6,82.6,8.4
Totaal particuliere huishoudens,2006,40031,0.9,22.6,41172,61.2,0.8,15.2,2.2,18.3,447.0,81.3,8.4
Totaal particuliere huishoudens,2007,37901,0.8,20.9,39018,57.5,0.8,14.6,2.1,15.3,442.5,82.0,8.2
Totaal particuliere huishoudens,2008,40227,0.8,22.6,41406,56.6,0.6,13.8,2.1,12.3,438.8,80.5,8.0
Totaal particuliere huishoudens,2009,40282,0.8,22.6,41470,54.7,0.6,13.6,2.0,9.3,434.1,79.0,7.9
Totaal particuliere huishoudens,2010,43389,0.8,25.0,44626,53.7,0.6,13.9,2.0,6.4,427.0,78.3,7.7
Totaal particuliere huishoudens,2011,38367,0.7,21.3,39527,49.0,0.6,14.1,1.9,3.4,420.2,75.8,7.3
Totaal particuliere huishoudens,2012,39380,0.7,22.0,40532,46.9,0.6,14.3,1.9,0.4,408.6,75.8,7.1
Totaal particuliere huishoudens,2013,40656,0.7,22.8,41822,47.1,0.6,14.8,1.9,0.0,396.7,74.9,6.8
Totaal particuliere huishoudens,2014,35590,0.7,19.1,36656,44.5,0.5,14.2,1.8,0.0,387.8,73.3,6.6
Totaal particuliere huishoudens,2015,36473,0.7,19.7,37554,44.1,0.5,14.1,1.8,0.0,380.5,72.0,6.3
Totaal particuliere huishoudens,2016,37060,0.7,20.1,38155,43.1,0.5,14.5,1.8,0.0,386.8,71.5,6.2
Totaal particuliere huishoudens,2017,36531,0.7,19.7,37606,41.4,0.5,14.2,1.7,0.0,381.5,71.1,6.1
Totaal particuliere huishoudens,2018,36204,0.7,19.5,37246,40.0,0.5,14.6,1.7,0.0,372.1,70.1,5.9
Totaal particuliere huishoudens,2019,35656,0.7,18.9,36681,39.5,0.5,14.6,1.7,0.0,367.8,69.9,5.8
Eigen vervoer particuliere huishoudens,1990,15078,0.2,6.2,15300,138.8,5.1,0.8,3.2,0.0,620.2,134.7,6.7
Eigen vervoer particuliere huishoudens,1991,15206,0.3,5.2,15427,129.3,4.9,1.1,3.0,0.0,542.5,113.1,6.1
Eigen vervoer particuliere huishoudens,1992,15750,0.4,5.0,15991,120.1,4.9,1.4,2.8,0.0,517.5,105.6,5.9
Eigen vervoer particuliere huishoudens,1993,15847,0.5,4.6,16101,109.9,4.7,1.5,2.6,0.0,483.8,98.1,5.5
Eigen vervoer particuliere huishoudens,1994,16297,0.5,4.4,16570,102.0,4.5,1.7,2.5,0.0,460.4,92.0,5.3
Eigen vervoer particuliere huishoudens,1995,16518,0.6,4.3,16808,95.1,4.2,2.1,2.3,0.0,454.0,86.3,5.1
Eigen vervoer particuliere huishoudens,1996,16589,0.6,4.0,16879,89.2,3.2,2.5,2.2,0.0,438.9,80.0,4.9
Eigen vervoer particuliere huishoudens,1997,17227,0.7,3.9,17519,84.0,1.8,2.9,2.0,0.0,425.2,74.5,4.7
Eigen vervoer particuliere huishoudens,1998,17314,0.6,3.6,17596,77.1,1.9,3.1,1.9,0.0,401.3,67.8,4.6
Eigen vervoer particuliere huishoudens,1999,18001,0.6,3.4,18279,73.7,2.0,3.6,1.9,0.0,394.4,61.7,4.6
Eigen vervoer particuliere huishoudens,2000,18205,0.7,3.1,18486,67.4,1.5,4.2,1.8,0.0,383.2,52.9,4.4
Eigen vervoer particuliere huishoudens,2001,17574,0.6,2.9,17838,59.8,0.6,4.4,1.6,0.0,370.1,46.4,4.1
Eigen vervoer particuliere huishoudens,2002,17875,0.6,2.8,18133,56.2,0.7,4.6,1.5,0.0,374.1,42.7,4.0
Eigen vervoer particuliere huishoudens,2003,18042,0.6,2.8,18292,52.5,0.4,4.7,1.4,0.0,376.7,39.2,3.8
Eigen vervoer particuliere huishoudens,2004,18320,0.6,2.6,18562,49.9,0.5,4.8,1.4,0.0,373.8,35.6,3.7
Eigen vervoer particuliere huishoudens,2005,18171,0.6,2.5,18406,47.6,0.3,4.7,1.3,0.0,366.5,33.3,3.6
Eigen vervoer particuliere huishoudens,2006,17953,0.6,2.5,18179,45.0,0.3,4.6,1.3,0.0,357.3,31.4,3.4
Eigen vervoer particuliere huishoudens,2007,17956,0.5,2.5,18175,43.2,0.3,4.5,1.2,0.0,354.5,32.1,3.3
Eigen vervoer particuliere huishoudens,2008,17923,0.5,2.5,18134,41.4,0.2,4.3,1.2,0.0,350.6,31.7,3.2
Eigen vervoer particuliere huishoudens,2009,18044,0.5,2.5,18244,40.0,0.2,4.2,1.1,0.0,345.8,30.5,3.0
Eigen vervoer particuliere huishoudens,2010,17814,0.4,2.4,18001,38.0,0.1,4.1,1.1,0.0,337.4,29.4,2.9
Eigen vervoer particuliere huishoudens,2011,17943,0.4,2.4,18122,36.3,0.1,4.0,1.0,0.0,333.0,28.6,2.7
Eigen vervoer particuliere huishoudens,2012,17760,0.4,2.3,17926,34.3,0.1,3.8,1.0,0.0,323.3,27.4,2.5
Eigen vervoer particuliere huishoudens,2013,17827,0.4,2.3,17992,34.5,0.1,3.7,1.0,0.0,311.9,26.4,2.4
Eigen vervoer particuliere huishoudens,2014,17995,0.4,2.3,18156,34.5,0.1,3.7,1.0,0.0,306.7,25.4,2.3
Eigen vervoer particuliere huishoudens,2015,17851,0.3,2.2,18008,34.1,0.1,3.6,1.0,0.0,301.1,24.7,2.2
Eigen vervoer particuliere huishoudens,2016,17765,0.3,2.3,17926,33.4,0.1,3.6,0.9,0.0,309.0,24.5,2.1
Eigen vervoer particuliere huishoudens,2017,17728,0.3,2.3,17888,32.5,0.1,3.6,0.9,0.0,306.0,24.3,2.1
Eigen vervoer particuliere huishoudens,2018,17520,0.3,2.2,17673,31.4,0.1,3.5,0.9,0.0,298.7,23.2,2.0
Eigen vervoer particuliere huishoudens,2019,17685,0.3,2.2,17838,31.3,0.1,3.5,0.9,0.0,297.8,22.9,2.0
Overig particuliere huishoudens,1990,22569,0.2,22.2,23184,23.5,1.2,13.3,1.3,678.7,86.6,52.4,5.1
Overig particuliere huishoudens,1991,25647,0.2,24.1,26315,25.9,1.0,13.4,1.4,571.8,84.5,52.3,5.0
Overig particuliere huishoudens,1992,23692,0.2,22.5,24320,23.3,0.9,13.6,1.3,464.9,82.3,52.2,4.9
Overig particuliere huishoudens,1993,24828,0.2,23.1,25477,24.4,0.9,13.6,1.4,358.0,80.2,52.2,4.8
Overig particuliere huishoudens,1994,23332,0.2,22.0,23953,23.0,0.8,13.4,1.3,251.2,78.0,52.1,4.6
Overig particuliere huishoudens,1995,25163,0.3,23.4,25888,25.3,0.8,10.9,1.2,144.3,90.6,53.8,5.2
Overig particuliere huishoudens,1996,29072,0.3,26.1,29891,28.8,0.7,10.8,1.3,58.5,91.7,55.9,5.0
Overig particuliere huishoudens,1997,24672,0.3,22.9,25406,24.2,0.6,10.9,1.2,48.8,90.5,53.7,5.1
Overig particuliere huishoudens,1998,23594,0.3,22.0,24317,22.7,0.6,11.0,1.2,42.1,88.8,48.7,5.1
Overig particuliere huishoudens,1999,22459,0.3,20.9,23119,22.3,0.6,11.0,1.2,45.1,79.5,46.7,4.8
Overig particuliere huishoudens,2000,22473,0.3,20.9,23346,21.4,0.5,9.5,1.0,39.1,87.2,50.9,5.1
Overig particuliere huishoudens,2001,23713,0.2,21.4,24547,22.8,0.5,10.9,1.2,34.6,86.2,50.4,4.9
Overig particuliere huishoudens,2002,22923,0.2,20.8,23721,22.1,0.5,10.8,1.1,30.9,82.9,49.3,5.0
Overig particuliere huishoudens,2003,23458,0.2,21.1,24297,21.9,0.5,10.6,1.1,27.6,83.6,49.4,5.1
Overig particuliere huishoudens,2004,22566,0.3,20.5,23443,19.5,0.4,10.4,1.0,24.2,85.0,48.5,4.9
Overig particuliere huishoudens,2005,21848,0.3,20.1,22730,18.1,0.4,10.9,1.0,21.2,87.1,49.3,4.9
Overig particuliere huishoudens,2006,22078,0.3,20.2,22993,16.3,0.4,10.6,1.0,18.3,89.7,49.9,5.0
Overig particuliere huishoudens,2007,19946,0.3,18.3,20842,14.3,0.4,10.2,0.9,15.3,88.0,49.8,4.9
Overig particuliere huishoudens,2008,22304,0.3,20.1,23272,15.1,0.4,9.4,0.9,12.3,88.1,48.8,4.8
Overig particuliere huishoudens,2009,22238,0.4,20.1,23226,14.7,0.5,9.4,0.9,9.3,88.3,48.5,4.8
Overig particuliere huishoudens,2010,25575,0.4,22.5,26624,15.8,0.5,9.8,0.9,6.4,89.6,48.9,4.8
Overig particuliere huishoudens,2011,20424,0.3,18.9,21405,12.6,0.4,10.1,0.9,3.4,87.1,47.2,4.6
Overig particuliere huishoudens,2012,21620,0.3,19.7,22606,12.6,0.4,10.4,0.9,0.4,85.3,48.5,4.5
Overig particuliere huishoudens,2013,22829,0.3,20.5,23830,12.5,0.4,11.1,0.9,0.0,84.7,48.5,4.4
Overig particuliere huishoudens,2014,17595,0.3,16.8,18499,10.0,0.4,10.5,0.9,0.0,81.0,47.9,4.4
Overig particuliere huishoudens,2015,18623,0.3,17.4,19546,10.0,0.4,10.6,0.8,0.0,79.4,47.3,4.2
Overig particuliere huishoudens,2016,19294,0.3,17.9,20229,9.7,0.4,10.8,0.9,0.0,77.8,47.0,4.1
Overig particuliere huishoudens,2017,18802,0.3,17.4,19717,8.8,0.4,10.6,0.8,0.0,75.5,46.8,4.0
Overig particuliere huishoudens,2018,18684,0.4,17.3,19572,8.6,0.4,11.1,0.9,0.0,73.4,46.9,3.9
Overig particuliere huishoudens,2019,17971,0.4,16.7,18843,8.2,0.4,11.1,0.8,0.0,70.0,47.0,3.7
Alle economische activiteiten,1990,140408,60.4,698.5,184131,620.3,248.4,336.0,41.0,5471.3,482.8,409.2,65.9
Alle economische activiteiten,1991,146176,60.9,713.3,189033,609.5,213.4,340.2,39.9,4494.7,530.0,385.8,62.6
Alle economische activiteiten,1992,148154,61.7,711.0,192226,620.6,212.5,281.4,36.7,3518.1,550.6,362.1,59.9
Alle economische activiteiten,1993,147883,62.5,708.7,192853,616.7,207.4,295.6,37.3,2541.5,537.2,339.0,56.9
Alle economische activiteiten,1994,151272,60.9,686.5,197028,602.6,198.4,262.9,34.7,1564.8,489.0,314.9,53.7
Alle economische activiteiten,1995,151526,60.4,681.8,196379,589.1,197.5,210.2,31.3,588.2,407.0,289.2,50.7
Alle economische activiteiten,1996,157142,60.5,667.6,203942,581.0,191.9,164.8,28.3,431.3,397.5,273.8,47.2
Alle economische activiteiten,1997,156455,59.7,620.8,202689,571.9,181.6,161.3,27.6,319.4,368.7,253.4,44.9
Alle economische activiteiten,1998,159318,57.8,611.6,205510,567.4,181.0,148.1,26.7,205.2,357.8,250.0,43.6
Alle economische activiteiten,1999,156905,55.5,599.1,196211,591.2,185.8,143.4,27.1,196.5,348.0,244.2,45.4
Alle economische activiteiten,2000,158669,53.8,578.3,195557,581.3,172.4,161.8,27.5,183.0,336.9,235.6,43.5
Alle economische activiteiten,2001,163174,50.6,573.4,196214,575.4,170.3,154.2,26.9,168.5,343.0,212.9,42.1
Alle economische activiteiten,2002,162898,47.9,547.7,195071,555.4,154.6,147.1,25.5,146.8,328.4,201.9,40.4
Alle economische activiteiten,2003,165331,47.5,537.9,195265,559.6,151.9,143.5,25.3,122.8,320.1,197.8,38.3
Alle economische activiteiten,2004,168708,48.9,536.9,198720,555.4,150.4,141.9,25.1,117.4,339.0,182.4,37.0
Alle economische activiteiten,2005,167121,48.7,539.1,196913,552.7,154.6,138.2,25.0,111.9,329.3,189.1,36.6
Alle economische activiteiten,2006,160750,48.6,538.8,190703,510.2,136.4,141.4,23.7,106.3,336.3,182.5,33.9
Alle economische activiteiten,2007,164632,43.1,558.4,193630,521.8,142.0,138.2,23.9,100.5,326.5,185.6,34.6
Alle economische activiteiten,2008,166683,30.4,579.3,192426,519.1,118.2,125.8,22.4,94.6,334.6,181.9,33.1
Alle economische activiteiten,2009,162079,29.7,579.2,187598,479.6,100.1,123.3,20.8,88.7,289.8,184.4,30.9
Alle economische activiteiten,2010,170339,28.7,586.5,196114,466.1,86.5,119.3,19.8,82.8,294.8,194.4,29.4
Alle economische activiteiten,2011,163373,28.0,579.0,188473,437.1,69.0,115.9,18.5,77.1,281.3,193.9,27.3
Alle economische activiteiten,2012,161158,27.6,571.0,185827,434.1,62.0,109.9,17.8,71.4,272.3,191.1,26.4
Alle economische activiteiten,2013,159353,28.2,577.5,183974,434.3,68.3,108.7,18.0,68.5,253.1,188.7,26.1
Alle economische activiteiten,2014,159002,28.7,574.4,183243,423.3,58.9,113.0,17.7,66.1,244.3,179.1,26.1
Alle economische activiteiten,2015,164998,29.5,589.8,190050,410.1,50.6,114.3,17.2,64.0,245.4,187.5,24.8
Alle economische activiteiten,2016,162720,28.5,602.2,187597,398.3,40.5,114.0,16.6,62.1,241.2,185.9,23.4
Alle economische activiteiten,2017,161161,29.1,598.4,186019,389.9,39.0,117.7,16.6,60.3,233.9,186.2,23.0
Alle economische activiteiten,2018,157725,28.1,573.9,181794,384.7,36.4,115.4,16.3,58.8,238.0,174.3,22.4
Alle economische activiteiten,2019,156028,27.8,568.2,180009,374.3,33.5,111.8,15.7,58.8,235.6,171.4,21.8
"Landbouw, bosbouw en visserij",1990,10250,34.3,589.8,35224,95.8,5.3,330.5,21.7,0.0,13.2,104.5,7.2
"Landbouw, bosbouw en visserij",1991,11228,34.8,598.9,36581,97.7,5.1,334.4,21.9,0.0,13.5,98.4,7.1
"Landbouw, bosbouw en visserij",1992,10950,35.3,595.3,36366,97.2,5.0,275.4,18.5,0.0,13.5,92.0,7.1
"Landbouw, bosbouw en visserij",1993,11433,34.5,591.2,36484,99.8,4.9,289.8,19.4,0.0,13.7,86.0,7.1
"Landbouw, bosbouw en visserij",1994,10871,33.3,571.6,35072,101.1,5.0,256.8,17.4,0.0,13.8,79.8,7.0
"Landbouw, bosbouw en visserij",1995,10934,34.0,567.1,35274,96.8,5.2,204.8,14.3,0.0,14.1,72.0,7.1
"Landbouw, bosbouw en visserij",1996,11636,34.0,556.1,35702,91.9,5.0,159.8,11.5,0.0,13.5,72.7,7.6
"Landbouw, bosbouw en visserij",1997,10218,33.4,533.1,33527,89.2,5.1,156.6,11.3,0.0,13.2,73.4,7.6
"Landbouw, bosbouw en visserij",1998,10148,31.4,524.0,32638,88.1,5.3,143.7,10.5,0.0,13.0,74.3,7.7
"Landbouw, bosbouw en visserij",1999,9900,30.3,517.7,31894,86.5,5.2,139.2,10.2,0.0,13.0,75.2,7.8
"Landbouw, bosbouw en visserij",2000,10100,28.0,500.0,31062,86.3,5.6,157.6,11.3,0.0,13.1,76.2,7.5
"Landbouw, bosbouw en visserij",2001,9842,26.8,496.2,30376,82.7,5.8,149.6,10.8,0.0,13.1,74.4,7.6
"Landbouw, bosbouw en visserij",2002,9245,25.0,470.6,28636,78.2,5.3,142.8,10.3,0.0,12.5,72.4,7.3
"Landbouw, bosbouw en visserij",2003,9316,24.5,462.0,28351,77.8,5.8,139.0,10.0,0.0,12.3,78.4,6.6
"Landbouw, bosbouw en visserij",2004,9420,24.0,462.5,28354,76.4,5.7,136.7,9.9,0.0,12.0,71.2,7.0
"Landbouw, bosbouw en visserij",2005,9738,23.6,462.0,28556,76.2,5.8,133.6,9.7,0.0,12.1,69.8,7.2
"Landbouw, bosbouw en visserij",2006,9095,23.6,467.4,28091,75.0,5.0,137.1,9.8,0.0,11.6,69.8,7.0
"Landbouw, bosbouw en visserij",2007,9690,22.5,484.0,28781,74.6,4.2,134.2,9.6,0.0,11.7,72.5,7.2
"Landbouw, bosbouw en visserij",2008,10479,22.0,503.7,29940,73.5,2.5,121.6,8.8,0.0,11.6,73.6,7.2
"Landbouw, bosbouw en visserij",2009,10516,21.0,511.4,29915,70.4,1.9,119.4,8.6,0.0,11.5,84.1,7.1
"Landbouw, bosbouw en visserij",2010,12171,21.0,515.4,31663,68.0,2.0,115.6,8.3,0.0,11.9,84.8,7.2
"Landbouw, bosbouw en visserij",2011,11057,20.2,508.3,30166,65.2,1.3,112.0,8.0,0.0,11.5,86.2,7.5
"Landbouw, bosbouw en visserij",2012,10933,19.7,502.9,29749,61.4,1.0,106.3,7.6,0.0,11.2,85.9,7.2
"Landbouw, bosbouw en visserij",2013,10750,20.3,513.5,29921,61.8,1.0,105.3,7.6,0.0,11.0,90.1,7.1
"Landbouw, bosbouw en visserij",2014,9622,20.5,511.2,28759,60.3,1.0,109.8,7.8,0.0,10.6,82.7,7.2
"Landbouw, bosbouw en visserij",2015,9991,21.2,529.4,29804,61.1,0.4,110.9,7.9,0.0,10.5,94.5,7.1
"Landbouw, bosbouw en visserij",2016,9873,20.8,542.6,29837,59.5,0.3,110.2,7.8,0.0,10.6,100.1,7.0
"Landbouw, bosbouw en visserij",2017,10051,21.1,541.7,30099,57.1,0.3,114.0,8.0,0.0,10.5,99.4,6.8
"Landbouw, bosbouw en visserij",2018,10010,20.6,520.4,29372,55.2,0.3,111.4,7.8,0.0,10.6,94.3,6.5
"Landbouw, bosbouw en visserij",2019,10129,20.4,514.1,29275,54.5,0.3,107.7,7.5,0.0,10.6,92.3,6.3
Nijverheid (geen bouw) en energie,1990,97467,24.9,96.6,115558,205.1,169.2,4.8,10.0,3608.7,310.9,176.6,36.5
Nijverheid (geen bouw) en energie,1991,100342,24.8,97.4,117052,189.5,137.5,5.1,8.7,2985.1,303.2,166.3,33.8
Nijverheid (geen bouw) en energie,1992,101636,25.0,98.3,119470,190.0,131.5,5.3,8.5,2361.5,294.6,155.9,30.9
Nijverheid (geen bouw) en energie,1993,98784,26.7,99.2,117858,179.3,122.8,5.0,8.0,1737.9,285.5,145.3,28.1
Nijverheid (geen bouw) en energie,1994,102465,26.3,100.7,123278,164.3,110.4,5.3,7.3,1114.3,275.6,134.6,25.2
Nijverheid (geen bouw) en energie,1995,101741,25.1,101.7,121379,158.6,109.4,4.5,7.1,490.7,265.8,126.0,23.1
Nijverheid (geen bouw) en energie,1996,104110,25.2,97.2,125895,155.8,104.9,4.1,6.9,371.3,262.9,117.7,19.6
Nijverheid (geen bouw) en energie,1997,104747,25.0,73.1,126706,144.3,95.1,3.7,6.3,279.4,238.6,103.3,17.3
Nijverheid (geen bouw) en energie,1998,106831,25.1,73.2,129562,131.6,85.5,3.4,5.7,185.2,233.6,101.8,15.7
Nijverheid (geen bouw) en energie,1999,102960,23.9,66.6,119383,130.0,75.8,3.1,5.4,161.5,224.3,97.7,15.8
Nijverheid (geen bouw) en energie,2000,104340,24.5,63.9,118878,117.8,62.6,3.1,4.7,152.9,219.1,94.8,14.0
Nijverheid (geen bouw) en energie,2001,107659,22.5,63.2,118985,116.1,66.4,3.2,4.8,141.5,215.8,78.1,13.3
Nijverheid (geen bouw) en energie,2002,108875,21.6,63.1,120620,114.5,60.1,2.9,4.5,121.8,204.8,73.5,13.5
Nijverheid (geen bouw) en energie,2003,110366,21.8,62.2,120216,114.4,56.1,3.0,4.4,97.8,198.7,67.3,12.6
Nijverheid (geen bouw) en energie,2004,112513,23.8,60.9,122474,108.1,58.9,3.7,4.4,92.4,218.7,63.6,11.7
Nijverheid (geen bouw) en energie,2005,110958,24.0,63.9,120839,106.2,57.7,3.0,4.3,86.9,205.9,66.3,10.9
Nijverheid (geen bouw) en energie,2006,105875,23.8,58.6,115704,100.6,57.9,2.7,4.2,81.3,210.4,61.7,10.8
Nijverheid (geen bouw) en energie,2007,108775,19.5,61.0,117447,91.0,54.8,2.4,3.8,75.5,199.6,61.5,10.3
Nijverheid (geen bouw) en energie,2008,108880,7.3,62.0,113861,85.5,47.2,2.5,3.5,69.6,202.8,59.6,9.6
Nijverheid (geen bouw) en energie,2009,106282,7.5,54.3,111111,74.7,34.8,2.3,2.8,63.7,164.4,53.2,8.6
Nijverheid (geen bouw) en energie,2010,112084,6.6,58.1,117088,76.7,32.1,2.1,2.8,57.8,173.2,60.7,8.5
Nijverheid (geen bouw) en energie,2011,107644,6.5,58.2,112278,72.8,32.6,2.3,2.7,52.1,160.2,60.3,8.1
Nijverheid (geen bouw) en energie,2012,104341,6.6,55.7,108871,69.7,32.8,2.1,2.7,46.4,153.5,59.4,7.7
Nijverheid (geen bouw) en energie,2013,102987,6.6,51.9,107229,67.8,28.6,1.8,2.5,43.5,138.5,54.4,7.8
Nijverheid (geen bouw) en energie,2014,105690,6.9,50.9,109645,63.9,28.2,1.7,2.4,41.1,136.7,52.8,7.7
Nijverheid (geen bouw) en energie,2015,110954,7.0,50.3,115070,63.7,29.3,1.8,2.4,39.0,141.8,50.2,7.7
Nijverheid (geen bouw) en energie,2016,110689,6.4,49.0,114512,59.2,26.4,2.1,2.2,37.1,138.7,44.9,7.7
Nijverheid (geen bouw) en energie,2017,108331,6.6,45.8,112043,56.1,24.9,1.9,2.1,35.3,131.5,45.8,7.8
Nijverheid (geen bouw) en energie,2018,104172,6.1,42.8,107781,55.3,23.4,2.2,2.1,33.8,133.7,39.0,7.5
Nijverheid (geen bouw) en energie,2019,103093,6.0,43.2,106833,54.4,20.8,2.2,2.0,33.8,132.9,38.5,7.2
Delfstoffenwinning,1990,2353,0.0,77.2,4283,7.3,1.7,0.2,0.2,0.0,0.6,15.5,0.0
Delfstoffenwinning,1991,2340,0.0,77.1,4267,7.1,1.4,0.1,0.2,0.0,0.6,15.1,0.0
Delfstoffenwinning,1992,2390,0.0,76.8,4310,7.6,1.5,0.1,0.2,0.0,0.7,14.7,0.0
Delfstoffenwinning,1993,2152,0.0,76.6,4067,6.6,1.7,0.1,0.2,0.0,0.8,14.2,0.0
Delfstoffenwinning,1994,1940,0.0,76.5,3854,5.3,1.6,0.1,0.2,0.0,0.9,13.8,0.0
Delfstoffenwinning,1995,2053,0.0,76.6,3969,6.7,1.1,0.1,0.2,0.0,1.6,13.4,0.0
Delfstoffenwinning,1996,2139,0.0,71.0,3915,6.8,2.2,0.1,0.2,0.0,1.6,14.9,1.4
